"2019","POINT (-87.6453787624 41.962178629)",267573,277601
"2020","POINT (-87.6875155152 41.9751709433)",267315,263903
"2024","POINT (-87.6513108767 41.9290469366)",267231,229354
"2021","POINT (-87.6314065252 41.8710158803)",267197,235526
"2019","POINT (-87.6595642391 41.8563332167)",266625,250029
"2025","POINT (-87.6209929134 41.8849871918)",266248,286073
"2022","POINT (-87.6665962653 41.7759288274)",266005,250836
"2020","POINT (-87.6219716519 41.8774061234)",265476,269163
"2020","POINT (-87.7058971305 41.8789144956)",264979,255028
"2023","POINT (-87.6540070286 41.9147473049)",264560,245747
"2024","POINT (-87.6488950721 41.7174930361)",263481,257138
"2019","POINT (-87.6747191345 41.8995897957)",262525,234533
"2021","POINT (-87.6424975271 41.7771962546)",262234,252234
"2022","POINT (-87.6186777673 41.8351179863)",261660,258775
"2022","POINT (-87.7058971305 41.8789144956)",261581,255414
"2024","POINT (-87.551428197 41.7412427285)",261315,257054
"2019","POINT (-87.6398538587 41.9347624564)",260432,267470
"2023","POINT (-87.6513108767 41.9290469366)",258556,219957
"2020","POINT (-87.6314065252 41.8710158803)",258397,228874
"2024","POINT (-87.6716536214 41.8786674201)",256363,356047
"2023","POINT (-87.6487879519 41.8361501547)",256029,244916
